#Date    MJD          VIS?  PAnom   PArange
20-04-01 58940.000000 True  104.224  99.068--109.381 
20-04-02 58941.000000 True  105.207 100.050--110.364 
20-04-03 58942.000000 True  106.189 101.032--111.345 
20-04-04 58943.000000 True  107.170 102.013--112.327 
20-04-05 58944.000000 True  108.150 102.994--113.307 
20-04-06 58945.000000 True  109.130 103.973--114.286 
20-04-07 58946.000000 True  110.108 104.952--115.265 
20-04-08 58947.000000 True  111.087 105.930--116.243 
20-04-09 58948.000000 True  112.064 106.907--117.220 
20-04-10 58949.000000 True  113.040 107.884--118.197 
20-04-11 58950.000000 True  114.016 108.860--119.173 
20-04-12 58951.000000 True  114.991 109.835--120.148 
20-04-13 58952.000000 True  115.966 110.809--121.122 
20-04-14 58953.000000 True  116.939 111.783--122.096 
20-04-15 58954.000000 True  117.912 112.756--123.069 
20-04-16 58955.000000 True  118.885 113.728--124.041 
20-04-17 58956.000000 True  119.857 114.700--125.013 
20-04-18 58957.000000 True  120.828 115.671--125.984 
20-04-19 58958.000000 True  121.798 116.641--126.955 
20-04-20 58959.000000 True  122.768 117.611--127.924 
20-04-21 58960.000000 True  123.737 118.580--128.894 
20-04-22 58961.000000 True  124.705 119.549--129.862 
20-04-23 58962.000000 True  125.673 120.517--130.830 
20-04-24 58963.000000 True  126.641 121.484--131.797 
20-04-25 58964.000000 True  127.607 122.451--132.764 
20-04-26 58965.000000 True  128.574 123.417--133.730 
20-04-27 58966.000000 True  129.539 124.383--134.696 
20-04-28 58967.000000 True  130.504 125.348--135.661 
20-04-29 58968.000000 True  131.469 126.312--136.626 
20-04-30 58969.000000 True  132.433 127.276--137.590 
20-05-01 58970.000000 True  133.397 128.240--138.553 
20-05-02 58971.000000 True  134.360 129.203--139.516 
20-05-03 58972.000000 True  135.322 130.166--140.479 
20-05-04 58973.000000 True  136.284 131.128--141.441 
20-05-05 58974.000000 True  137.246 132.089--142.403 
20-05-06 58975.000000 True  138.207 133.051--143.364 
20-05-07 58976.000000 True  139.168 134.011--144.325 
20-05-08 58977.000000 True  140.128 134.972--145.285 
20-05-09 58978.000000 True  141.088 135.932--146.245 
20-05-10 58979.000000 True  142.048 136.891--147.205 
20-05-11 58980.000000 True  143.007 137.851--148.164 
20-05-12 58981.000000 True  143.966 138.810--149.123 
20-05-13 58982.000000 True  144.925 139.768--150.081 
20-05-14 58983.000000 True  145.883 140.726--151.040 
20-05-15 58984.000000 True  146.841 141.684--151.997 
20-05-16 58985.000000 True  147.798 142.642--152.955 
20-05-17 58986.000000 True  148.756 143.599--153.912 
20-05-18 58987.000000 True  149.713 144.556--154.869 
20-05-19 58988.000000 True  150.669 145.513--155.826 
20-05-20 58989.000000 True  151.626 146.469--156.783 
20-05-21 58990.000000 True  152.582 147.426--157.739 
20-05-22 58991.000000 True  153.538 148.382--158.695 
20-05-23 58992.000000 True  154.494 149.338--159.651 
20-05-24 58993.000000 True  155.450 150.293--160.606 
20-05-25 58994.000000 True  156.405 151.249--161.562 
20-05-26 58995.000000 True  157.360 152.204--162.517 
20-05-27 58996.000000 True  158.316 153.159--163.472 
20-05-28 58997.000000 True  159.271 154.114--164.427 
20-05-29 58998.000000 True  160.225 155.069--165.382 
20-05-30 58999.000000 True  161.180 156.023--166.337 
20-05-31 59000.000000 True  162.135 156.978--167.291 

Accessible PA ranges: [0.0, 360.0]
Non-accessible PA ranges: 
